area,quartos,banheiros,garagem,preco
234,3,3,2,1142370
107,2,2,1,529632
94,1,1,1,479433
259,5,4,4,1352659
205,4,3,4,1078733
284,6,5,4,1464318
91,3,3,2,525299
225,3,2,3,1103433
285,5,4,4,1452241
113,2,2,2,584582
68,2,1,1,362358
192,2,2,2,942495
188,2,1,1,868414
236,4,4,3,1191245
250,4,3,3,1227980
215,5,5,4,1187731
116,2,2,1,583952
198,4,4,4,1064722
53,1,1,0,262898
202,3,3,3,1035364
161,2,2,1,781556
239,4,3,3,1210323
101,2,1,2,512758
259,5,5,4,1359694
286,4,3,3,1406958
211,5,5,4,1142549
280,5,5,4,1460981
292,5,4,4,1489974
197,4,4,4,1075596
151,4,4,4,859059
185,3,2,3,961704
247,4,3,4,1224156
192,2,2,2,935389
176,4,3,3,962460
183,3,2,2,919949
167,3,2,2,854208
164,2,1,2,778446
286,4,3,3,1406267
125,3,3,3,711633
147,3,3,3,803729
75,1,1,0,387849
134,3,2,2,728601
248,6,5,4,1369058
64,1,1,0,303757
190,4,4,3,1040775
284,5,4,4,1441471
128,3,3,2,667523
217,4,3,3,1120439
252,6,5,4,1354669
93,2,1,2,479807
172,2,2,2,823835
273,5,5,4,1429772
50,1,1,0,227071
105,3,3,2,596569
204,3,3,3,1041080
158,3,2,3,799639
277,5,5,4,1458033
156,3,2,3,815814
230,3,2,2,1131314
148,3,2,3,803599
271,4,3,4,1328159
273,4,4,3,1367236
257,6,5,4,1393490
202,3,3,3,1045907
46,1,1,0,233967
221,3,2,2,1070137
61,1,1,0,319595
114,3,3,3,652195
238,5,4,4,1269430
223,3,2,3,1097258
110,2,1,1,534553
282,6,5,4,1470620
280,5,4,4,1415352
102,1,1,0,457172
150,2,1,1,712257
69,1,1,1,346567
164,3,2,2,832823
193,4,4,4,1028125
199,4,3,4,1039493
185,2,1,2,881428
298,4,4,4,1505098
208,5,5,4,1138253
237,4,4,3,1238062
160,3,2,3,857948
74,2,2,1,407255
169,3,2,3,878182
85,3,3,2,521103
142,2,2,2,726549
65,1,1,0,317417
151,3,3,2,777081
142,2,2,1,712988
149,4,3,4,860624
189,4,4,4,1016012
178,3,3,3,898062
285,5,4,4,1444507
256,4,3,3,1245262
178,4,4,3,947457
213,4,4,3,1114322
217,4,4,4,1143600
131,2,1,1,650406
295,5,4,4,1520989
83,1,1,1,385610
163,2,1,1,751934
278,5,4,4,1437806
294,4,3,4,1419576
53,1,1,0,268513
265,5,4,4,1374366
121,2,1,2,629625
226,4,4,3,1160648
252,6,5,4,1348059
86,1,1,1,414055
238,5,4,4,1272661
132,1,1,1,624664
214,3,2,2,1023655
288,5,4,4,1481454
188,2,1,2,858626
151,3,3,2,782813
128,2,2,2,648755
116,1,1,0,506601
268,5,4,4,1392260
248,5,4,4,1319950
275,6,5,4,1461243
237,5,4,4,1228016
196,4,3,3,1009761
123,3,2,3,663353
229,3,2,2,1093002
272,5,5,4,1396083
89,2,2,2,496302
253,4,3,3,1254794
92,2,2,1,476526
256,6,5,4,1382683
131,3,2,2,678823
199,4,4,3,1026946
130,3,3,3,709644
292,4,4,4,1444560
298,5,5,4,1505479
200,3,3,3,1039155
239,4,4,4,1234020
114,2,2,1,581192
205,4,4,4,1082100
296,5,5,4,1506569
246,4,3,3,1241012
137,1,1,0,617134
194,3,3,3,967921
200,4,4,3,1073873
261,6,5,4,1405386
290,6,5,4,1539820
229,3,2,2,1115896
226,4,3,4,1182527
214,5,4,4,1132262
177,3,2,3,893918
245,5,4,4,1257609
292,4,4,4,1434026
104,2,2,2,545283
278,5,5,4,1443805
94,3,3,3,543202
198,3,2,2,998251
220,3,2,2,1068816
134,2,2,2,679081
163,4,3,3,895574
266,6,5,4,1416663
264,6,5,4,1392286
187,2,1,1,862372
211,4,4,3,1090393
295,5,5,4,1522469
103,2,2,2,559059
133,2,1,1,632124
105,2,2,1,523996
236,4,4,4,1232287
115,3,3,2,643894
133,2,2,2,653794
140,3,3,2,773722
228,3,3,2,1099387
241,5,5,4,1284438
272,6,5,4,1449453
60,1,1,0,283012
160,3,2,3,835070
298,4,3,4,1486397
232,3,3,2,1131262
97,2,2,1,507873
179,3,2,3,934507
105,2,1,2,565429
264,5,4,4,1389115
150,2,2,2,755115
131,2,2,2,673734
181,2,1,2,832085
186,3,2,2,901784
209,4,4,4,1089117
182,4,4,4,971349
92,3,3,3,560198
294,5,4,4,1509702
279,5,4,4,1413075
264,5,5,4,1374959
190,3,2,3,975662
220,3,2,2,1076037
280,4,3,3,1373920
278,4,4,3,1399727
112,2,1,2,544517
229,4,3,4,1189349
129,1,1,1,617378
164,4,3,3,857871
154,4,3,3,854707
160,4,3,3,886586
220,3,3,2,1084306
81,1,1,0,401091
97,1,1,1,493136
198,4,4,3,1060646
118,1,1,0,537442
224,4,3,4,1165175
271,5,4,4,1374375
108,3,3,3,618211
116,2,2,1,574463
190,2,2,1,902931
141,4,4,3,830567
167,4,4,3,904199
300,4,3,4,1464740
112,3,3,3,650206
133,3,2,2,708093
79,1,1,0,347410
75,2,2,2,428759
250,4,3,4,1239478
203,3,2,2,998752
212,5,4,4,1163188
268,5,4,4,1358250
267,4,4,3,1328669
134,1,1,0,621773
50,1,1,1,272275
177,3,3,2,921537
182,2,1,2,885294
264,5,4,4,1382482
84,3,3,3,500433
300,5,5,4,1521719
97,1,1,0,423286
51,1,1,1,266053
241,4,3,3,1217432
259,5,5,4,1360079
208,4,3,4,1065425
71,1,1,0,337475
80,2,2,2,443449
89,3,2,3,512951
194,4,3,4,1022935
297,5,4,4,1474817
254,4,3,4,1292477
49,1,1,1,289440
202,3,2,2,986913
296,4,3,4,1433296
67,1,1,1,339445
88,1,1,1,402504
76,2,1,1,391315
178,3,3,3,912444
276,5,4,4,1399484
114,1,1,0,502572
275,6,5,4,1432912
228,4,4,4,1189965
180,2,1,1,861926
200,3,2,3,975720
91,2,2,2,501850
70,1,1,0,309036
252,6,5,4,1358680
97,2,1,1,464441
158,3,2,3,813995
88,2,1,1,426825
146,4,3,3,841515
214,3,2,3,1028118
131,3,3,3,696132
240,5,4,4,1249071
140,3,3,3,789896
121,1,1,1,568895
255,6,5,4,1359335
241,4,4,3,1241316
172,2,2,2,839836
293,5,5,4,1493323
137,1,1,0,590320
188,2,2,2,925855
164,3,2,2,842848
168,3,2,2,854328
243,4,3,3,1205102
207,4,3,4,1090601
117,2,2,2,588905
296,4,3,3,1427445
157,2,2,1,752140
148,3,3,2,803187
210,3,2,2,1031444
117,1,1,0,528883
247,3,3,3,1202542
114,2,2,2,607344
207,4,4,3,1100016
134,3,3,3,715145
135,1,1,0,591932
207,4,3,4,1062617
214,3,2,3,1045739
130,1,1,1,574746
180,3,2,2,889969
176,2,1,1,817492
269,6,5,4,1432114
238,4,4,3,1240916
290,5,4,4,1449830
62,1,1,1,305513
98,1,1,0,482791
237,4,3,3,1186547
292,4,4,3,1453201
267,5,4,4,1370098
150,3,3,3,817292
189,3,2,2,908052
246,5,4,4,1283847
46,2,1,2,315194
290,5,4,4,1458562
132,2,1,2,677697
104,2,2,2,554853
180,2,2,1,851315
240,4,3,4,1194924
179,4,4,4,968627
182,2,1,1,823016
221,5,4,4,1210302
243,5,5,4,1296812
198,3,3,2,993505
120,1,1,0,527955
153,3,2,2,781346
85,3,2,2,522664
177,3,2,2,879834
248,5,5,4,1343843
51,2,1,2,292006
120,1,1,0,568494
191,3,3,3,971303
293,6,5,4,1518649
251,5,5,4,1325138
214,4,3,4,1100401
235,3,3,3,1151378
188,4,3,3,967407
198,5,5,4,1124362
258,4,3,4,1281453
253,6,5,4,1366368
126,1,1,1,566089
59,1,1,0,315652
74,1,1,1,342113
229,4,4,4,1217769
282,6,5,4,1470255
235,5,5,4,1289047
287,5,5,4,1505296
177,2,2,1,839733
70,1,1,0,349426
160,3,3,3,849638
55,1,1,0,286426
133,1,1,1,626468
201,4,4,4,1102009
223,5,5,4,1212185
199,5,4,4,1096322
236,4,4,3,1209771
77,1,1,1,407858
186,3,3,2,920025
168,2,2,2,836214
116,1,1,1,532201
259,6,5,4,1396009
142,3,2,3,781810
228,4,3,3,1145853
94,3,2,3,568325
138,3,2,2,713883
159,3,3,3,836158
178,3,3,2,907437
72,1,1,0,348199
106,3,3,3,592743
122,2,1,2,607216
279,5,5,4,1467848
86,3,3,2,510739
74,1,1,1,352522
131,2,2,1,629680
267,6,5,4,1422686
241,3,2,2,1171084
236,3,3,2,1121374
47,1,1,1,245853
111,1,1,1,505145
78,1,1,1,385479
217,5,4,4,1197473
295,5,4,4,1525434
251,4,3,3,1270855
112,2,1,1,531471
232,3,3,3,1168944
69,1,1,0,305961
104,3,3,3,588899
174,4,3,3,945360
49,1,1,0,262216
183,3,3,2,931127
105,2,1,1,526619
146,3,3,2,765656
254,5,4,4,1329722
299,5,5,4,1516168
46,1,1,0,260937
297,5,4,4,1521819
96,2,1,2,490600
180,4,3,3,978292
134,1,1,1,643333
205,5,4,4,1143787
68,1,1,0,320139
228,5,5,4,1227020
220,4,3,4,1134230
278,5,5,4,1465022
260,5,4,4,1364624
75,1,1,1,402718
292,6,5,4,1547463
228,3,2,3,1115589
102,3,3,2,561550
178,3,2,2,902498
218,3,3,2,1076183
222,5,4,4,1160163
125,3,3,2,658906
296,5,4,4,1488429
70,1,1,1,375549
165,2,2,2,831511
274,4,4,4,1373513
105,3,2,2,578439
256,4,3,3,1296090
200,4,4,4,1065812
72,1,1,1,367110
287,5,5,4,1456785
158,2,2,2,803987
194,4,3,3,1042577
129,3,2,3,674809
175,3,2,2,901849
246,4,4,3,1267175
218,3,3,2,1086100
108,3,3,2,615291
47,1,1,1,258714
135,2,1,1,645389
209,5,5,4,1140730
248,5,5,4,1339343
113,2,2,2,615851
205,4,3,3,1070905
193,4,3,3,1012623
210,3,3,3,1064194
258,5,5,4,1362857
99,1,1,0,432277
73,1,1,0,338383
173,3,2,3,865969
61,1,1,0,309577
159,4,3,4,897212
69,2,2,2,427449
205,3,2,3,1000309
271,5,5,4,1434065
144,3,3,2,778538
83,2,1,1,426320
65,2,2,2,367524
127,2,1,2,631961
124,1,1,1,587917
71,1,1,1,330976
207,4,3,3,1089928
126,3,3,2,681098
158,3,3,3,831245
195,4,4,3,1013518
222,5,4,4,1162013
209,5,4,4,1121615
189,2,2,2,911703
67,1,1,1,343078
87,1,1,0,419486
78,1,1,1,410366
98,2,2,1,531548
123,1,1,1,547082
89,1,1,0,438849
173,2,1,2,821314
243,5,5,4,1286335
53,2,1,1,317636
77,1,1,1,384353
99,2,2,1,505249
269,6,5,4,1430863
125,2,1,2,645217
196,4,4,4,1025930
117,1,1,0,541933
246,3,3,2,1211240
221,4,4,3,1125748
139,3,3,2,720311
137,1,1,0,607448
79,1,1,0,392352
294,5,5,4,1523794
165,2,2,1,822990
144,3,3,3,770318
201,4,4,4,1074269
131,1,1,0,614689
158,4,4,4,874401
214,5,5,4,1167310
201,5,4,4,1113506
86,2,1,1,431451
84,1,1,0,419057
252,5,4,4,1321016
286,5,5,4,1460834
193,4,4,3,1023603
231,3,2,2,1130824
116,3,2,2,635316
119,3,3,2,643140
294,5,4,4,1486011
164,2,1,2,782234
285,6,5,4,1509501
210,3,3,3,1063921
134,3,3,3,745314
84,2,2,1,457640
252,5,5,4,1355347
291,4,3,4,1417053
162,2,2,1,761246
140,3,3,2,760326
162,4,4,3,898956
290,6,5,4,1530418
255,4,3,3,1248381
127,2,1,1,590064
130,2,1,2,653279
54,1,1,0,269238
286,6,5,4,1525618
255,5,4,4,1308991
220,5,4,4,1175786
242,4,3,3,1198661
259,5,4,4,1345986
64,1,1,1,340013
111,1,1,1,518473
67,2,1,2,401144
240,4,3,4,1200774
175,4,3,3,922564
254,5,4,4,1340274
48,1,1,1,272496
150,3,3,3,780985
124,3,3,3,720831
261,5,5,4,1390677
149,4,4,3,837062
292,5,5,4,1522137
248,5,4,4,1297868
127,1,1,1,612916
218,3,2,3,1083272
47,1,1,1,264737
267,4,3,4,1319933
234,3,2,3,1135056
191,2,1,2,898968
50,1,1,0,225202
163,3,2,3,826279
45,1,1,1,268096
249,5,5,4,1329209
147,2,1,1,706418
190,3,3,3,956830
144,4,4,3,808911
134,3,2,2,706775
195,4,3,4,1060416
173,4,4,4,979060
169,3,3,3,912554
59,2,1,2,320227
240,4,3,4,1219028
225,3,3,2,1092827
92,3,3,2,551743
136,3,3,3,729523
182,3,2,3,938707
147,3,2,3,756951
162,3,2,3,816623
99,1,1,1,484027
48,1,1,1,270276
206,5,5,4,1122184
188,4,3,3,962148
261,6,5,4,1392002
134,3,2,3,709486
49,1,1,1,271876
96,2,2,2,501465
179,3,3,3,935979
220,4,3,4,1135783
152,4,4,4,896389
250,5,5,4,1332447
112,2,1,2,591096
165,4,4,3,889558
121,3,2,2,646824
300,5,5,4,1524663
173,2,2,1,842855
128,1,1,1,596830
94,3,3,3,562456
229,4,4,3,1175785
107,2,1,1,553538
190,3,3,3,992773
273,4,4,4,1378992
119,2,2,2,627171
252,4,3,3,1249919
161,3,3,3,866758
181,4,4,4,1013381
230,5,5,4,1223051
56,1,1,1,311950
85,2,1,2,431750
93,1,1,0,405327
248,4,3,4,1266107
124,1,1,1,563831
171,3,3,2,855803
132,1,1,1,638785
211,5,5,4,1167149
272,5,4,4,1410756
267,5,5,4,1401767
161,2,2,2,786171
256,5,4,4,1302891
45,1,1,1,247749
49,2,2,2,292398
265,5,4,4,1375927
236,4,4,4,1219070
172,3,3,3,880856
179,2,2,1,856656
184,3,3,3,929120
80,1,1,1,371232
278,6,5,4,1449906
209,3,2,2,1023859
56,1,1,1,280841
109,3,2,2,574711
122,1,1,0,547807
260,5,5,4,1367388
61,1,1,0,272872
181,4,3,4,956101
143,3,3,2,737592
172,4,4,3,957740
62,1,1,0,307553
151,4,4,4,857372
126,1,1,1,588737
197,4,4,3,1071000
156,2,1,2,744467
52,1,1,0,257339
169,2,1,2,822915
124,2,1,1,584134
300,4,4,3,1450917
227,4,3,3,1154371
164,3,3,3,880850
143,2,2,2,734074
113,2,1,2,588909
269,5,5,4,1411939
140,3,3,3,750043
127,1,1,1,580777
179,3,3,2,931650
239,4,3,4,1238657
167,3,2,3,839843
299,5,5,4,1527656
209,3,2,2,991668
111,2,1,1,526215
293,5,4,4,1495021
243,5,5,4,1289609
158,2,1,1,759575
296,4,4,3,1453853
257,5,4,4,1341069
65,1,1,0,300149
94,1,1,1,435216
143,3,2,3,775496
99,2,2,2,559656
98,2,1,2,512675
217,4,4,4,1172545
206,4,4,4,1117281
265,5,4,4,1364580
175,3,3,3,905023
45,1,1,0,235922
114,2,1,2,561341
154,3,2,3,809084
124,1,1,1,572108
124,2,2,2,665102
172,3,3,3,872423
249,5,4,4,1324763
292,5,5,4,1510409
198,3,3,2,1011726
73,1,1,1,361897
106,2,1,2,516747
201,3,3,2,994619
158,3,2,3,818803
91,2,2,2,519735
246,4,3,4,1222609
288,4,4,4,1417175
249,6,5,4,1347317
146,4,4,3,836976
171,3,2,3,895106
265,5,4,4,1384023
256,6,5,4,1357683
209,4,3,4,1072892
224,5,4,4,1170741
164,3,3,2,867458
88,1,1,0,423298
120,2,1,2,617468
101,2,2,2,511690
214,4,3,3,1103610
177,4,3,3,937081
67,1,1,0,313013
147,3,2,3,786310
49,1,1,1,277249
229,3,2,3,1144646
242,4,4,3,1262636
206,5,4,4,1105233
279,4,3,3,1375495
201,4,4,4,1094984
125,1,1,1,576290
199,4,4,3,1063811
176,4,3,4,937983
122,2,2,1,589153
240,4,4,3,1232545
123,3,3,3,690036
112,2,1,1,579930
115,2,1,2,610572
119,2,2,1,607325
105,2,2,1,559649
60,1,1,1,299880
271,5,4,4,1372197
112,2,1,2,578088
163,3,2,2,819144
85,3,2,3,529662
236,4,4,4,1224254
115,2,1,1,538112
254,4,4,4,1283385
148,3,2,2,761388
295,5,5,4,1512020
252,4,4,4,1286231
64,1,1,1,350998
66,1,1,0,326749
243,3,2,3,1175406
248,5,5,4,1297510
261,5,4,4,1353581
276,4,3,3,1379234
114,3,3,3,652349
57,1,1,0,310238
277,4,4,4,1410732
128,1,1,0,596883
275,5,4,4,1429636
126,3,3,2,708548
132,2,1,1,664338
119,2,1,2,587989
203,5,5,4,1105304
112,2,1,2,539200
279,6,5,4,1481644
297,5,4,4,1504136
254,6,5,4,1352837
187,3,2,2,906116
73,1,1,0,375556
61,1,1,0,272413
100,3,2,2,575046
190,3,3,3,944348
92,2,2,2,531220
239,3,3,2,1151991
286,5,4,4,1449775
256,5,4,4,1309363
89,3,3,3,557701
207,4,4,3,1096658
299,6,5,4,1583711
164,3,2,2,807546
57,2,1,1,344800
257,6,5,4,1372314
153,2,1,2,727273
79,1,1,1,410068
48,1,1,1,255555
59,1,1,1,330445
218,5,5,4,1202913
114,3,2,3,663261
216,5,5,4,1206929
198,4,3,3,1038440
214,4,3,3,1086180
60,1,1,0,302419
244,4,3,4,1255020
206,3,3,3,1014888
299,5,5,4,1555159
199,4,4,3,1030155
236,3,2,2,1131283
57,2,1,1,314689
292,5,5,4,1521828
95,2,1,1,482105
243,3,2,3,1149485
89,2,2,1,451556
204,3,3,2,1006829
147,3,3,3,796283
208,5,4,4,1110385
125,2,1,1,618825
97,2,2,2,511163
117,2,1,1,549068
204,4,4,3,1052324
59,2,1,1,325939
72,1,1,1,342129
273,5,5,4,1445171
146,2,2,1,690289
284,4,4,4,1439657
283,6,5,4,1468018
177,3,3,2,918249
214,4,4,4,1102783
78,2,1,2,426968
281,5,5,4,1464812
110,1,1,0,496356
81,1,1,1,406901
256,5,4,4,1333812
241,3,3,2,1194540
265,6,5,4,1394343
84,3,2,3,500123
94,3,2,3,547394
80,1,1,1,396394
76,1,1,0,390347
45,1,1,1,251816
194,5,5,4,1073278
207,4,4,4,1118441
221,3,2,3,1109750
110,2,1,2,589052
72,1,1,0,371842
189,2,1,2,907820
246,4,4,4,1260206
267,5,4,4,1357514
141,4,4,4,804310
192,3,2,2,922101
53,1,1,1,259498
88,2,2,2,514161
262,5,5,4,1381579
275,6,5,4,1437176
262,4,4,3,1334070
182,4,4,3,953881
292,5,4,4,1498652
85,2,2,2,476878
85,1,1,1,426331
84,2,1,2,455863
50,2,2,2,333615
214,5,5,4,1162753
130,1,1,1,578025
287,5,4,4,1485411
58,1,1,0,264911
84,2,2,1,464156
188,3,3,2,967190
102,2,1,2,520633
134,2,1,2,642649
61,1,1,0,308229
123,3,3,3,676194
270,5,4,4,1364560
180,2,1,1,839409
249,6,5,4,1364699
164,4,4,4,908011
119,3,2,3,678052
274,6,5,4,1427180
226,5,5,4,1211916
181,2,2,2,876419
168,3,3,2,855130
50,1,1,0,249951
95,1,1,1,441379
190,3,2,2,910553
92,1,1,0,445804
106,1,1,1,516217
139,2,1,2,671104
284,4,4,4,1445220
263,5,5,4,1400766
82,1,1,1,397866
215,3,3,3,1058660
270,4,4,3,1360996
246,4,4,3,1229628
265,5,4,4,1386884
177,2,1,1,801014
173,4,3,4,920355
45,1,1,1,226935
213,5,4,4,1152935
268,6,5,4,1395816
241,5,4,4,1261052
200,5,4,4,1090943
219,3,3,3,1106253
148,3,2,3,790901
142,3,3,2,766728
228,5,4,4,1232790
142,3,2,2,709062
167,4,4,3,940352
202,5,5,4,1095827
218,3,3,2,1071175
105,2,2,1,560565
164,2,1,1,773840
54,2,1,1,325760
111,1,1,0,538487
202,3,3,2,1032145
77,1,1,1,390392
157,2,1,2,749508
250,5,4,4,1298075
154,2,1,2,718943
106,2,1,2,524213
234,4,4,3,1207941
65,1,1,1,351964
125,1,1,0,538416
48,1,1,1,256877
288,5,4,4,1478531
183,4,4,3,967039
